section,item,text,ai_relevance_score,classification
1. TEMA: NİCELİKLER VE DEĞİŞİMLER,a),KAVRAMSAL,0,Low AI Relevance
1. TEMA: NİCELİKLER VE DEĞİŞİMLER,a),Doğrusal ilişkiler içeren problemlerin çözümlerinde kullanılabilecek matematiksel,0,Low AI Relevance
1. TEMA: NİCELİKLER VE DEĞİŞİMLER,b),Doğrusal ilişkiler içeren problemlerin çözümleri için kullanılabilecek matematiksel,0,Low AI Relevance
1. TEMA: NİCELİKLER VE DEĞİŞİMLER,c),Doğrusal ilişkiler içeren problemlerin çözümleri için belirlediği matematiksel araç,1,Medium AI Relevance
1. TEMA: NİCELİKLER VE DEĞİŞİMLER,e),"x, y",0,Low AI Relevance
1. TEMA: NİCELİKLER VE DEĞİŞİMLER,i),öğ-,0,Low AI Relevance
1. TEMA: NİCELİKLER VE DEĞİŞİMLER,i),fark etmeye yönelik çalışmalara yer verilir. Doğrusal ilişki içeren gerçek yaşam,1,Medium AI Relevance
2. TEMA: MANTIKSAL ÇIKARIM,a),Problemlerde verilen matematiksel yapıları belirler.,0,Low AI Relevance
2. TEMA: MANTIKSAL ÇIKARIM,b),Problemlerde verilen matematiksel yapılar ile problemlere uygun farklı matema-,0,Low AI Relevance
2. TEMA: MANTIKSAL ÇIKARIM,c),Problemlerde verilen matematiksel yapıları farklı matematiksel temsillere dönüş-,0,Low AI Relevance
2. TEMA: MANTIKSAL ÇIKARIM,d),Elde ettiği ve yorumladığı farklı temsillere dayalı problemlerin çözümleri için stra-,0,Low AI Relevance
2. TEMA: MANTIKSAL ÇIKARIM,e),Karşılaşılan problemlerde seçtiği çözüm stratejilerini kullanır.,1,Medium AI Relevance
2. TEMA: MANTIKSAL ÇIKARIM,f),Kullandığı çözüm stratejilerini kontrol eder.,1,Medium AI Relevance
2. TEMA: MANTIKSAL ÇIKARIM,g),Çözümüne ulaştığı problemler için olası farklı çözüm stratejilerini inceler.,1,Medium AI Relevance
2. TEMA: MANTIKSAL ÇIKARIM,h),Çözüme ulaştıran stratejilere yönelik çıkarımlarını bu stratejilerin kullanılabileceği,0,Low AI Relevance
2. TEMA: MANTIKSAL ÇIKARIM,e),ÖĞRENME-ÖĞRETME,0,Low AI Relevance
2. TEMA: MANTIKSAL ÇIKARIM,i),"veya tablo ile gösterildiği (haftalık ders programları gibi), gruplandırıldığı (ülkemizde-",1,Medium AI Relevance
2. TEMA: MANTIKSAL ÇIKARIM,i),örneklere yer verilir. Bu,0,Low AI Relevance
3. TEMA: ALGORİTMA VE BİLİŞİM,a),Sonlu sayı örüntülerinin terimleri arasındaki ilişkileri gözlemler.,0,Low AI Relevance
3. TEMA: ALGORİTMA VE BİLİŞİM,b),Sonlu sayı örüntülerinin terimleri arasındaki örüntüleri belirler.,0,Low AI Relevance
3. TEMA: ALGORİTMA VE BİLİŞİM,c),Belirlediği ilişkileri sözel ve cebirsel olarak geneller.,0,Low AI Relevance
3. TEMA: ALGORİTMA VE BİLİŞİM,a),Şifreli metinlerdeki ilişkileri gözlemler.,0,Low AI Relevance
3. TEMA: ALGORİTMA VE BİLİŞİM,b),Şifreli metinlerdeki örüntüleri belirler.,0,Low AI Relevance
3. TEMA: ALGORİTMA VE BİLİŞİM,c),Belirlediği örüntüleri sözel ve cebirsel olarak geneller.,0,Low AI Relevance
