section,item,text,curriculum_type,curriculum_name
9.2.1.1. Kümeler ile ilgili temel kavramları hatırlatılır.,a),Kümelerle ilgili gerçek hayattan örneklere yer verilir.,numeric-based,math_curriculum_2018
9.1.1.3. Koşullu önermeyi ve iki yönlü koşullu önermeyi açıklar.,a),"Koşullu önermenin karşıtı, tersi, karşıt tersi verilir.",numeric-based,math_curriculum_2018
9.1.1.3. Koşullu önermeyi ve iki yönlü koşullu önermeyi açıklar.,b),olduğu doğruluk tablosu yardımıyla gösterilir.,numeric-based,math_curriculum_2018
9.1.1.3. Koşullu önermeyi ve iki yönlü koşullu önermeyi açıklar.,c),"‘‘ ve, veya, ya da, ise’’ bağlaçları kullanılarak verilen,  en fazla üç önerme içeren ve en fazla dört bileşenli",numeric-based,math_curriculum_2018
9.2.1.1. Kümeler ile ilgili temel kavramlar hatırlatılır.,a),Kümelerle ilgili gerçek hayattan örneklere yer verilir.,numeric-based,math_curriculum_2018
9.2.1.1. Kümeler ile ilgili temel kavramlar hatırlatılır.,b),Kümelerin farklı gösterimlerine yer verilir.,numeric-based,math_curriculum_2018
9.2.1.1. Kümeler ile ilgili temel kavramlar hatırlatılır.,c),Cantor’un çalışmalarına yer verilir.,numeric-based,math_curriculum_2018
9.2.1.2. Alt kümeyi kullanarak işlemler yapar.,a),Alt küme kavramı ve özellikleri ele alınır.,numeric-based,math_curriculum_2018
9.2.1.2. Alt kümeyi kullanarak işlemler yapar.,b),Alt küme kavramıyla ilgili gerçek hayattan örneklere yer verilir.,numeric-based,math_curriculum_2018
9.2.1.2. Alt kümeyi kullanarak işlemler yapar.,c),Kombinasyon gerektiren problemlere girilmez.,numeric-based,math_curriculum_2018
9.2.1.3. İki kümenin eşitliğini kullanarak işlemler yapar.,a),İki kümenin eşitliği kavramı alt küme ile ilişkilendirilir.,numeric-based,math_curriculum_2018
9.2.1.3. İki kümenin eşitliğini kullanarak işlemler yapar.,b),Denk küme kavramı verilmez.,numeric-based,math_curriculum_2018
"9.2.2.1. Kümelerde birleşim, kesişim, fark, tümleme işlemleri yardımıyla problemler çözer.",a),"Kümelerin birleşim, kesişim, fark ve tümleme işlemlerinin özellikleri verilir.",numeric-based,math_curriculum_2018
"9.2.2.1. Kümelerde birleşim, kesişim, fark, tümleme işlemleri yardımıyla problemler çözer.",b),Ayrık küme kavramına yer verilir.,numeric-based,math_curriculum_2018
"9.2.2.1. Kümelerde birleşim, kesişim, fark, tümleme işlemleri yardımıyla problemler çözer.",c),En fazla üç kümenin birleşiminin eleman sayısını veren ilişkiler üzerinde durulur.,numeric-based,math_curriculum_2018
"9.2.2.1. Kümelerde birleşim, kesişim, fark, tümleme işlemleri yardımıyla problemler çözer.",d),Gerçek hayat problemlerine yer verilir.,numeric-based,math_curriculum_2018
9.2.2.2. İki kümenin kartezyen çarpımıyla ilgili işlemler yapar.,a),Sıralı ikili ve sıralı ikililerin eşitliği örneklerle açıklanır.,numeric-based,math_curriculum_2018
9.2.2.2. İki kümenin kartezyen çarpımıyla ilgili işlemler yapar.,b),Kartezyen çarpımın eleman sayısı buldurulur.,numeric-based,math_curriculum_2018
9.2.2.2. İki kümenin kartezyen çarpımıyla ilgili işlemler yapar.,c),Sadece sonlu sayıda elemanı olan kümelerin kartezyen çarpımlarının grafik çizimi yapılır.,numeric-based,math_curriculum_2018
9.2.2.2. İki kümenin kartezyen çarpımıyla ilgili işlemler yapar.,l),sayılar,numeric-based,math_curriculum_2018
9.3.1.1. Sayı kümelerini birbiriyle ilişkilendirir.,a),"Doğal sayı, tam sayı, rasyonel sayı, irrasyonel sayı ve gerçek sayı kümelerinin sembolleri tanıtılarak bu",numeric-based,math_curriculum_2018
9.3.1.1. Sayı kümelerini birbiriyle ilişkilendirir.,b),gibi sayıların sayı doğrusundaki yeri belirlenir.,numeric-based,math_curriculum_2018
9.3.1.1. Sayı kümelerini birbiriyle ilişkilendirir.,c),Gerçek sayılar kümesinde toplama ve çarpma işlemlerinin özellikleri üzerinde durulur.,numeric-based,math_curriculum_2018
9.3.2.2. Tam sayılarda EBOB ve EKOK ile ilgili uygulamalar yapar.,a),Gerçek hayat problemlerine yer verilir.,numeric-based,math_curriculum_2018
9.3.2.2. Tam sayılarda EBOB ve EKOK ile ilgili uygulamalar yapar.,b),Elektronik tablolarda bulunan EBOB ve EKOK fonksiyonlarından yararlanılır.,numeric-based,math_curriculum_2018
9.3.3.1. Gerçek sayılar kümesinde aralık kavramını açıklar.,a),"Açık, kapalı ve yarı açık aralık kavramları ile bunların gösterimleri üzerinde durulur.",numeric-based,math_curriculum_2018
9.3.3.1. Gerçek sayılar kümesinde aralık kavramını açıklar.,b),Aralıkların kartezyen çarpımlarına yer verilmez.,numeric-based,math_curriculum_2018
9.3.3.2. Birinci dereceden bir bilinmeyenli denklem ve eşitsizliklerin çözüm kümelerini bulur.,a),Birinci dereceden bir bilinmeyenli denklem ve eşitsizliklerin çözümü hatırlatılır.,numeric-based,math_curriculum_2018
9.3.3.2. Birinci dereceden bir bilinmeyenli denklem ve eşitsizliklerin çözüm kümelerini bulur.,b),Harezmî’nin denklemler konusundaki çalışmalarına yer verilir.,numeric-based,math_curriculum_2018
9.3.3.3. Mutlak değer içeren birinci dereceden bir bilinmeyenli denklem ve eşitsizliklerin çözüm,a),Bir gerçek sayının mutlak değeri hatırlatılarak mutlak değer özellikleri verilir. (,numeric-based,math_curriculum_2018
9.3.3.3. Mutlak değer içeren birinci dereceden bir bilinmeyenli denklem ve eşitsizliklerin çözüm,b),İkiden çok mutlak değer içeren denklem ve eşitsizliklere girilmez.,numeric-based,math_curriculum_2018
9.3.3.4. Birinci dereceden iki bilinmeyenli denklem ve eşitsizlik sistemlerinin çözüm kümelerini bulur.,a),"Birinci dereceden iki bilinmeyenli denklem sistemlerinin çözüm kümeleri bulunurken yerine koyma, yok",numeric-based,math_curriculum_2018
9.3.3.4. Birinci dereceden iki bilinmeyenli denklem ve eşitsizlik sistemlerinin çözüm kümelerini bulur.,b),"Birinci dereceden iki bilinmeyenli denklem ve eşitsizlik sistemlerinin çözümü, analitik düzlemde gösterilir.",numeric-based,math_curriculum_2018
9.3.4.1. Üslü ifadeleri içeren denklemleri çözer.,a),Üslü ifade kavramı hatırlatılır.,numeric-based,math_curriculum_2018
9.3.4.1. Üslü ifadeleri içeren denklemleri çözer.,b),Bir gerçek sayının tam sayı kuvveti ile ilgili uygulamalar yapılır.,numeric-based,math_curriculum_2018
9.3.4.1. Üslü ifadeleri içeren denklemleri çözer.,c),Üslü ifadelerin özellikleri üzerinde durulur.,numeric-based,math_curriculum_2018
