,2018,2024,total,2018_relative,2024_relative,relative_diff
fonksiyon,57,158,215,0.032721010332950634,0.04218958611481976,0.009468575781869125
ver,77,19,96,0.04420206659012629,0.005073431241655541,-0.039128635348470754
problem,26,66,92,0.014925373134328358,0.017623497997329773,0.002698124863001415
kullan,10,63,73,0.0057405281285878304,0.016822429906542057,0.011081901777954227
gerçek,32,37,69,0.018369690011481057,0.009879839786381843,-0.008489850225099214
belirle,2,64,66,0.001148105625717566,0.017089452603471295,0.01594134697775373
yer,55,8,63,0.03157290470723306,0.002136181575433912,-0.02943672313179915
çözüm,6,56,62,0.003444316877152698,0.014953271028037384,0.011508954150884685
fark,12,49,61,0.006888633754305396,0.013084112149532711,0.006195478395227315
grafik,33,26,59,0.01894374282433984,0.006942590120160214,-0.012001152704179625
ara,14,44,58,0.008036739380022962,0.011748998664886516,0.0037122592848635536
ilişkin,1,54,55,0.000574052812858783,0.014419225634178905,0.013845172821320122
nokta,25,29,54,0.014351320321469576,0.007743658210947931,-0.006607662110521645
sayı,18,36,54,0.010332950631458095,0.009612817089452604,-0.0007201335420054904
tanım,6,47,53,0.003444316877152698,0.012550066755674232,0.009105749878521533
durum,9,41,50,0.005166475315729047,0.010947930574098798,0.0057814552583697505
varsayım,0,49,49,0.0,0.013084112149532711,0.013084112149532711
üçgen,28,21,49,0.016073478760045924,0.005607476635514018,-0.010466002124531906
temsil,4,44,48,0.002296211251435132,0.011748998664886516,0.009452787413451383
ilişki,13,32,45,0.007462686567164179,0.008544726301735648,0.0010820397345714687
matematiksel,0,45,45,0.0,0.012016021361815754,0.012016021361815754
cebirsel,5,40,45,0.0028702640642939152,0.010680907877169559,0.007810643812875644
strateji,2,41,43,0.001148105625717566,0.010947930574098798,0.009799824948381232
ifade,14,27,41,0.008036739380022962,0.007209612817089452,-0.0008271265629335098
açı,19,21,40,0.010907003444316877,0.005607476635514018,-0.005299526808802859
araştır,0,39,39,0.0,0.01041388518024032,0.01041388518024032
üzer,23,15,38,0.01320321469575201,0.004005340453938585,-0.009197874241813425
öğrenci,0,38,38,0.0,0.010146862483311082,0.010146862483311082
kenar,24,12,36,0.013777267508610792,0.0032042723631508676,-0.010572995145459924
dik,9,26,35,0.005166475315729047,0.006942590120160214,0.0017761148044311663
incele,7,27,34,0.004018369690011481,0.007209612817089452,0.0031912431270779713
yap,11,22,33,0.006314580941446613,0.005874499332443258,-0.00044008160900335484
şekil,2,31,33,0.001148105625717566,0.008277703604806409,0.007129597979088843
nitel,0,33,33,0.0,0.008811748998664886,0.008811748998664886
küme,18,15,33,0.010332950631458095,0.004005340453938585,-0.0063276101775195095
değer,13,20,33,0.007462686567164179,0.0053404539385847796,-0.0021222326285793994
veri,5,28,33,0.0028702640642939152,0.007476635514018692,0.004606371449724776
çalış,12,19,31,0.006888633754305396,0.005073431241655541,-0.001815202512649855
yararlan,24,5,29,0.013777267508610792,0.0013351134846461949,-0.012442154023964596
oluş,6,22,28,0.003444316877152698,0.005874499332443258,0.00243018245529056
iletişim,27,0,27,0.015499425947187142,0.0,-0.015499425947187142
dayalı,0,27,27,0.0,0.007209612817089452,0.007209612817089452
denklem,13,14,27,0.007462686567164179,0.003738317757009346,-0.003724368810154833
hayat(i),26,1,27,0.014925373134328358,0.000267022696929239,-0.01465835043739912
kavram,24,2,26,0.013777267508610792,0.000534045393858478,-0.013243222114752314
değişken,3,23,26,0.001722158438576349,0.006141522029372497,0.004419363590796147
f(x,3,22,25,0.001722158438576349,0.005874499332443258,0.0041523408938669085
türev,7,18,25,0.004018369690011481,0.004806408544726302,0.0007880388547148211
karşıla,0,25,25,0.0,0.006675567423230975,0.006675567423230975
trigonometrik,7,18,25,0.004018369690011481,0.004806408544726302,0.0007880388547148211
oran,11,14,25,0.006314580941446613,0.003738317757009346,-0.0025762631844372668
doğru,8,17,25,0.004592422502870264,0.0045393858477970625,-5.303665507320164e-05
teknoloji,25,0,25,0.014351320321469576,0.0,-0.014351320321469576
örüntü,0,24,24,0.0,0.006408544726301735,0.006408544726301735
referans,0,24,24,0.0,0.006408544726301735,0.006408544726301735
genelle,0,24,24,0.0,0.006408544726301735,0.006408544726301735
polinom,9,15,24,0.005166475315729047,0.004005340453938585,-0.0011611348617904622
uygun,2,21,23,0.001148105625717566,0.005607476635514018,0.004459371009796452
işlem,8,15,23,0.004592422502870264,0.004005340453938585,-0.0005870820489316791
bağlam,3,20,23,0.001722158438576349,0.0053404539385847796,0.0036182955000084306
bilgi,13,10,23,0.007462686567164179,0.0026702269692923898,-0.004792459597871789
hareket,1,21,22,0.000574052812858783,0.005607476635514018,0.005033423822655235
öner,1,21,22,0.000574052812858783,0.005607476635514018,0.005033423822655235
değerlen,0,21,21,0.0,0.005607476635514018,0.005607476635514018
