text,dominant_topic,topic_percent,section,item,ai_relevance_score
Küme ilgi gerçek hayat(I) örnek yer ver,1,0.93657386,9.2.1.1. Kümeler ile ilgili temel kavramları hatırlatılır.,a),0
Koşul önerme karşıt ters karşıt ters ver,1,0.8622208,9.1.1.3. Koşullu önermeyi ve iki yönlü koşullu önermeyi açıklar.,a),0
ol doğru tablo yardım göster,2,0.9167766,9.1.1.3. Koşullu önermeyi ve iki yönlü koşullu önermeyi açıklar.,b),1
ve veya ya da i bağlaç kullan ver en fazla üç öner içer ve en fazla dört bileşen,2,0.9323082,9.1.1.3. Koşullu önermeyi ve iki yönlü koşullu önermeyi açıklar.,c),0
Küme ilgi gerçek hayat(I) örnek yer ver,1,0.9365753,9.2.1.1. Kümeler ile ilgili temel kavramlar hatırlatılır.,a),0
küme fark gösterim yer ver,1,0.90072113,9.2.1.1. Kümeler ile ilgili temel kavramlar hatırlatılır.,b),1
Cantor un çalış yer ver,2,0.75978816,9.2.1.1. Kümeler ile ilgili temel kavramlar hatırlatılır.,c),0
alt küme kavram ve özellik el alın,2,0.52610755,9.2.1.2. Alt kümeyi kullanarak işlemler yapar.,a),1
alt küme kavram ilgi gerçek hayat(I) örnek yer ver,1,0.9461619,9.2.1.2. Alt kümeyi kullanarak işlemler yapar.,b),1
kombinasyon gerek problem gir,1,0.8624073,9.2.1.2. Alt kümeyi kullanarak işlemler yapar.,c),1
iki küme eşit kavram alt küme ile ilişkilendir,1,0.9363148,9.2.1.3. İki kümenin eşitliğini kullanarak işlemler yapar.,a),3
Denk küme kavram ver,1,0.86157733,9.2.1.3. İki kümenin eşitliğini kullanarak işlemler yapar.,b),1
küme birleşim kesişim fark ve tümle işlem özellik ver,1,0.9528751,"9.2.2.1. Kümelerde birleşim, kesişim, fark, tümleme işlemleri yardımıyla problemler çözer.",a),2
ayrık küme kavram yer ver,1,0.8984663,"9.2.2.1. Kümelerde birleşim, kesişim, fark, tümleme işlemleri yardımıyla problemler çözer.",b),1
en fazla üç küme birleşim eleman Sayıs ver ilişki Üzer dur,1,0.9528115,"9.2.2.1. Kümelerde birleşim, kesişim, fark, tümleme işlemleri yardımıyla problemler çözer.",c),2
gerçek hayat(I) problem yer ver,1,0.90107536,"9.2.2.1. Kümelerde birleşim, kesişim, fark, tümleme işlemleri yardımıyla problemler çözer.",d),1
sıra li ikili ve sıra ikili eşit örnek açıkla,1,0.89990205,9.2.2.2. İki kümenin kartezyen çarpımıyla ilgili işlemler yapar.,a),0
