text,dominant_topic,topic_percent,section,item
KAVRAMSAL,2,0.6301018,1. TEMA: NİCELİKLER VE DEĞİŞİMLER,a)
doğrusal ilişki içer problem çözüm kullanıl matematiksel,0,0.47702384,1. TEMA: NİCELİKLER VE DEĞİŞİMLER,a)
doğrusal ilişki içer problem çözüm için kullan matematiksel,0,0.50746465,1. TEMA: NİCELİKLER VE DEĞİŞİMLER,b)
doğrusal ilişki içer problem çözüm için belirle matematiksel araç,7,0.5139649,1. TEMA: NİCELİKLER VE DEĞİŞİMLER,c)
x y,6,0.16502762,1. TEMA: NİCELİKLER VE DEĞİŞİMLER,e)
öğ,6,0.16502762,1. TEMA: NİCELİKLER VE DEĞİŞİMLER,i)
fark et yönelik çalış yer ver doğrusal ilişki içer gerçek yaşam,5,0.3437922,1. TEMA: NİCELİKLER VE DEĞİŞİMLER,i)
Problemlerde ver matematiksel yapı belirle,3,0.57236224,2. TEMA: MANTIKSAL ÇIKARIM,a)
Problemlerde ver matematiksel yapı ile problem uygun fark matema,1,0.67995507,2. TEMA: MANTIKSAL ÇIKARIM,b)
Problemlerde ver matematiksel yapı fark matematiksel temsil dön,6,0.7120359,2. TEMA: MANTIKSAL ÇIKARIM,c)
el et ve yorumla fark temsil dayalı problem çözüm için stra,6,0.9233828,2. TEMA: MANTIKSAL ÇIKARIM,d)
Karşılaş problem seç çözüm strateji kullan,7,0.8933251,2. TEMA: MANTIKSAL ÇIKARIM,e)
Kullan çözüm strateji kontrol et,7,0.87065345,2. TEMA: MANTIKSAL ÇIKARIM,f)
Çözüm ulaş problem için olası fark çözüm strateji incele,7,0.81497544,2. TEMA: MANTIKSAL ÇIKARIM,g)
Çözüm ulaş strateji yönelik çıkarım bu strateji kullan,7,0.50159013,2. TEMA: MANTIKSAL ÇIKARIM,h)
ÖĞRENME ÖĞRETME,7,0.7751336,2. TEMA: MANTIKSAL ÇIKARIM,e)
veya tablo ile göster haftalık ders program gibi grup ülke,4,0.86812747,2. TEMA: MANTIKSAL ÇIKARIM,i)
örnek yer ver bu,6,0.16502762,2. TEMA: MANTIKSAL ÇIKARIM,i)
Son sayı örüntü terim ara ilişki gözlem,6,0.70752585,3. TEMA: ALGORİTMA VE BİLİŞİM,a)
Son sayı örüntü terim ara örüntü belirle,6,0.89653873,3. TEMA: ALGORİTMA VE BİLİŞİM,b)
Belirle ilişki sözel ve cebirsel ol genel,1,0.89067155,3. TEMA: ALGORİTMA VE BİLİŞİM,c)
Şifre li metin ilişki gözlem,1,0.8674532,3. TEMA: ALGORİTMA VE BİLİŞİM,a)
Şifre li metin örüntü belirle,1,0.86737835,3. TEMA: ALGORİTMA VE BİLİŞİM,b)
Belirle örüntü sözel ve cebirsel ol genel,1,0.89063567,3. TEMA: ALGORİTMA VE BİLİŞİM,c)
fark şifrele yöntem incele,6,0.4483047,3. TEMA: ALGORİTMA VE BİLİŞİM,a)
İncele şifrele yöntem nitelik tespit et,3,0.86580473,3. TEMA: ALGORİTMA VE BİLİŞİM,b)
Benzerliklerden çıkarım yap yeni şifre oluş,3,0.6516002,3. TEMA: ALGORİTMA VE BİLİŞİM,c)
Öğrenme çıktı çalış kâğıd performans görev öz ve akran değerlendir form,7,0.70041513,3. TEMA: ALGORİTMA VE BİLİŞİM,e)
karşılık gel,6,0.16502762,3. TEMA: ALGORİTMA VE BİLİŞİM,i)
örüntü içer fark durum karşılaşılab fark et sağla,6,0.5047724,3. TEMA: ALGORİTMA VE BİLİŞİM,i)
Hak çıkarım bulun için öğrenci fırsat,5,0.8315088,3. TEMA: ALGORİTMA VE BİLİŞİM,i)
sınıf iç tartış yap D19 4 E1 1,5,0.76928455,3. TEMA: ALGORİTMA VE BİLİŞİM,i)
problem çözüm ilgili sınıf iç tartış yap Öğ,5,0.6315511,3. TEMA: ALGORİTMA VE BİLİŞİM,e)
tespit et bu süreç sınıf,5,0.83151925,3. TEMA: ALGORİTMA VE BİLİŞİM,i)
incele iste bu araç ve,2,0.5599511,3. TEMA: ALGORİTMA VE BİLİŞİM,i)
KAVRAMSAL,2,0.6301018,4. TEMA: GEOMETRİK ŞEKİLLER,a)
ve tr,6,0.16502762,4. TEMA: GEOMETRİK ŞEKİLLER,t)
dik üçgen trigonometrik oran ve trigonometrik özdeşlik ilgili varsayım,6,0.923389,4. TEMA: GEOMETRİK ŞEKİLLER,a)
Trigonometrik oran ve trigonometrik özdeşlik ilgili örüntü genel,6,0.92339,4. TEMA: GEOMETRİK ŞEKİLLER,b)
Trigonometrik oran ve trigonometrik özdeşlik ilgili el et genelleme,6,0.9119675,4. TEMA: GEOMETRİK ŞEKİLLER,c)
Ulaş trigonometrik oran ve trigonometrik özdeş problem bağlam,6,0.79180974,4. TEMA: GEOMETRİK ŞEKİLLER,d)
Üçgen iç ve dış açıortay kenarortay kenar orta dikme ve yüksek,4,0.6557081,4. TEMA: GEOMETRİK ŞEKİLLER,a)
fark üçgen örnek incele varsayım ilişkin örüntü genel,6,0.8535216,4. TEMA: GEOMETRİK ŞEKİLLER,b)
Üçgenin yardımcı eleman ilgili genelleme varsayım karşılaştır,0,0.5653069,4. TEMA: GEOMETRİK ŞEKİLLER,c)
Üçgenin yardımcı eleman ilgili öner problem bağlam değerlen,5,0.92825705,4. TEMA: GEOMETRİK ŞEKİLLER,d)
Üçgenin bir kenar ve o kenar ait yüksek değişim üçgen alan de,4,0.9194558,4. TEMA: GEOMETRİK ŞEKİLLER,a)
fark üçgen gözlem yarar varsayım yönelik örüntü,6,0.6359457,4. TEMA: GEOMETRİK ŞEKİLLER,b)
Genelle varsayım karşılaştır,6,0.5694341,4. TEMA: GEOMETRİK ŞEKİLLER,c)
