,2018,2024,total,bloom_remember,bloom_understand,bloom_apply,bloom_analyze,bloom_evaluate,bloom_create
et,8,91,99,0,0,0,0,0,0
ver,76,19,95,0,0,0,0,0,0
ol,40,41,81,0,0,0,0,0,0
kullan,10,61,71,0,0,1,0,0,0
belirle,2,54,56,1,0,0,0,0,0
yap,13,28,41,0,0,0,0,0,0
araştır,0,39,39,0,0,0,0,0,0
,2,34,36,0,0,0,0,0,0
incele,7,27,34,0,0,0,1,0,0
al,9,22,31,0,0,0,0,0,0
yararlan,24,5,29,0,0,0,0,0,0
çalış,11,17,28,0,0,0,0,0,0
karşıla,0,24,24,0,0,0,0,0,0
oluş,5,19,24,0,0,0,0,0,0
içer,4,15,19,0,0,0,0,0,0
bulun,9,9,18,0,0,0,0,0,0
oluştur,1,17,18,0,0,0,0,0,1
değerlen,0,17,17,0,0,0,0,0,0
sağla,1,14,15,0,0,0,0,0,0
sun,0,14,14,0,0,0,0,0,0
göster,9,5,14,1,0,1,0,0,0
dur,12,1,13,0,0,0,0,0,0
yorumla,3,10,13,0,1,0,0,0,0
alın,7,5,12,0,0,0,0,0,0
genel,0,12,12,0,0,0,0,0,0
hatırlat,10,2,12,0,0,0,0,0,0
seç,2,8,10,0,0,0,0,1,0
ilişkilendir,8,2,10,0,0,0,0,0,0
ulaş,0,10,10,0,0,0,0,0,0
edil,0,10,10,0,0,0,0,0,0
topla,1,8,9,0,0,0,0,0,0
say,2,7,9,0,0,0,0,0,0
benze,1,8,9,0,0,0,0,0,0
doğru,0,9,9,0,0,0,0,0,0
değerlendir,0,9,9,0,0,0,0,1,0
yarar,1,7,8,0,0,0,0,0,0
gerek,3,5,8,0,0,0,0,0,0
gir,8,0,8,0,0,0,0,0,0
iste,0,8,8,0,0,0,0,0,0
açıkla,8,0,8,0,1,0,0,0,0
Belirle,0,8,8,0,0,0,0,0,0
ispat,0,7,7,0,0,0,0,0,0
geçir,0,7,7,0,0,0,0,0,0
çöze,0,7,7,0,0,0,0,0,0
Öner,0,7,7,0,0,0,0,0,0
hesapla,5,2,7,0,0,1,0,0,0
buldur,6,0,6,0,0,0,0,0,0
çiz,5,1,6,0,0,0,0,0,0
türet,0,6,6,0,0,0,0,0,0
Ulaş,0,6,6,0,0,0,0,0,0
Karşılaş,0,6,6,0,0,0,0,0,0
ayır,4,2,6,0,0,0,0,0,0
doğrula,0,6,6,0,0,0,0,0,0
listele,0,6,6,1,0,0,0,0,0
değiş,2,3,5,0,0,0,0,0,0
belirt,4,1,5,0,0,0,0,0,0
köşegen,1,4,5,0,0,0,0,0,0
tanıt,4,1,5,0,0,0,0,0,0
gel,0,5,5,0,0,0,0,0,0
kullanıl,3,2,5,0,0,0,0,0,0
bekle,0,5,5,0,0,0,0,0,0
koş,0,5,5,0,0,0,0,0,0
çöz,2,3,5,0,0,1,0,0,0
geliş,0,5,5,0,0,0,0,0,0
öğren,0,4,4,0,0,0,0,0,0
öner,0,4,4,0,0,0,0,0,0
tanımla,3,1,4,1,0,0,0,0,0
algoritma,0,4,4,0,0,0,0,0,0
kes,3,1,4,0,0,0,0,0,0
hesaplat,4,0,4,0,0,0,0,0,0
önerme,1,3,4,0,0,0,0,0,0
Genelle,0,4,4,0,0,0,0,0,0
uygula,2,2,4,0,0,1,0,0,0
ört,4,0,4,0,0,0,0,0,0
